procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 481536 231433072 2976480 268004544    0    0     2     9    0    0  1  0 98  0  0
 1  0 481536 231377824 2976480 268004576    0    0     0   784 12894 17956  1  1 99  0  0
 3  0 481536 231371904 2976480 268004576    0    0     0   176 8465 10908  1  1 99  0  0
 2  0 481536 231384352 2976480 268004576    0    0     0    68 10539 32189  1  1 99  0  0
 0  0 481536 231435840 2976480 268004576    0    0     0   116 9128 11803  1  0 99  0  0
 0  0 481536 231416880 2976480 268004576    0    0     0   276 10889 20039  1  1 99  0  0
 2  0 481536 231447808 2976480 268004592    0    0     0   628 10994 15628  1  0 99  0  0
 3  0 481536 231461344 2976480 268004576    0    0     0   756 14653 24440  1  0 99  0  0
 2  0 481536 231451264 2976480 268004560    0    0     0   568 12015 20908  1  1 99  0  0
 1  0 481536 231480080 2976480 268004576    0    0     0   440 9590 14063  1  0 99  0  0
 2  0 481536 231466224 2976480 268004576    0    0     0   464 10610 15864  1  1 99  0  0
 0  0 481536 231437392 2976480 268004592    0    0     0   460 13985 43772  1  1 98  0  0
 2  0 481536 231449008 2976480 268004608    0    0     0   836 9377 14922  1  0 99  0  0
 1  0 481536 231452576 2976480 268004592    0    0     0   360 8784 12882  1  0 99  0  0
 2  0 481536 231452816 2976480 268004592    0    0     0   548 12336 19595  1  0 99  0  0
 0  0 481536 231439680 2976480 268004592    0    0     0   444 10272 14343  1  0 99  0  0
 2  0 481536 231415840 2976480 268004624    0    0     0   444 11079 16082  1  0 99  0  0
 2  0 481536 231465456 2976480 268004608    0    0     0   928 12558 25290  1  1 99  0  0
 7  0 481536 231457392 2976480 268004608    0    0     0   476 9638 13474  1  0 99  0  0
 1  0 481536 231475216 2976480 268004608    0    0     0    88 10105 16029  1  1 99  0  0
 1  0 481536 231482560 2976480 268004608    0    0     0   300 13154 30171  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
