# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     92     57     61      0      0      0      0      0      0   2619   1500      0      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500      0      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     92     57     61      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      3      0 
    0     92     57     61      3      0      0      0      0      0   2619   1500    100      0    624      9      0      0      0      0      0     17 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     93     57     61      0      0      0      0      0      0   2619   1500    100      0   1146     11      0      0      0      0     84     20 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      1 
    0     94     57     61      1      0      0      0      0      0   2619   1500    100      0   1408     13      0      0      0      0      0     14 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     94     57     61      0      0      0      0      0      0   2619   1500    100      0   1656     13      0      0      0      0      3     16 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     92     57     61      1      0      0      0      0      0   2619   1500    100      0   1984     13      0      0      0      0      0      1 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     57     61      0      0      0      0      0      0   2619   1500    100      0   2592     13      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0     91     57     61     78      0      0      0      0      0   2619   1500    100      0   2616     13      0      0      0      0    294    159 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0     99     57     61     93      0      0      0      0      0   2619   1500    100      0   2588     13      0      0      0      0     27      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0     92     57     61     51      0      0      0      0      0   2619   1500    100      0   2596     13      0      0      0      0    183    199 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      1 
    0     94     57     61     78      0      0      0      0      0   2619   1500    100      0   2624     13      0      0      0      0   2301    294 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     95     57     61      0      0      0      0      0      0   2619   1500    100      0   2618     13      0      0      0      0      1      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     92     57     61     89      0      0      0      0      0   2619   1500    100      0   2616     13      0      0      0      0    104      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     99     57     61     90      0      0      0      0      0   2619   1500    100      0   2184     13      0      0      0      0      1      6 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     94     57     61      1      0      0      0      0      0   2619   1500    100      0   1558     11      0      0      0      0     22     24 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     93     57     61      0      0      0      0      0      0   2619   1500    100      0    616      7      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     94     57     61      0      0      0      0      0      0   2619   1500    100      0    634      9      0      0      0      0     18     19 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     94     57     61      0      0      0      0      0      0   2619   1500    100      0   1153     11      0      0      0      0     21     20 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     94     57     61      0      0      0      0      0      0   2619   1500    100      0   1412     13      0      0      0      0     20     19 
