procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 481536 231438256 2976476 268001008    0    0     2     9    0    0  1  0 98  0  0
 3  0 481536 231386512 2976476 268003776    0    0     0   608 16269 34807  2  1 97  0  0
 2  0 481536 231332160 2976476 268004128    0    0     0    96 24009 37173  3  1 96  0  0
 2  0 481536 231305984 2976476 268001056    0    0     0   224 15919 26406  2  1 97  0  0
 5  0 481536 231249744 2976476 268004128    0    0     0   104 14595 19900  2  1 98  0  0
 1  0 481536 231288256 2976476 268004160    0    0     0   124 20370 23944  2  1 98  0  0
 2  0 481536 231283952 2976476 268004160    0    0     0   480 10322 11698  1  0 99  0  0
 3  0 481536 231316240 2976476 268004160    0    0     0    80 7814 10195  0  0 99  0  0
 2  0 481536 231349792 2976476 268004160    0    0     0  3604 8352 10928  1  0 99  0  0
 1  0 481536 231323584 2976476 268004160    0    0     0    88 17413 40441  2  1 98  0  0
 1  0 481536 231323104 2976476 268004160    0    0     0   292 10503 14952  1  0 99  0  0
 3  0 481536 231213664 2976476 268004160    0    0     0   312 21361 15404  7  1 92  0  0
 3  0 481536 230897264 2976476 268020544    0    0     0   264 10881 10787  1  1 98  0  0
 1  0 481536 230643872 2976476 268022544    0    0     0    76 11635 11775  1  1 98  0  0
 4  0 481536 230278432 2976476 268030784    0    0     0   104 15651 19812  1  1 98  0  0
 2  0 481536 229924944 2976476 268041024    0    0     0   336 13008 14346  1  1 98  0  0
 1  0 481536 229762848 2976476 268057312    0    0     0   140 10997 10638  1  1 98  0  0
 5  0 481536 229426560 2976476 268057408    0    0     0   268 10925 11865  1  1 98  0  0
 2  0 481536 229362816 2976476 268063520    0    0     0    76 17292 10905  1  1 98  0  0
 2  0 481536 229331520 2976476 268100112    0    0     0   100 23777 37195  2  1 97  0  0
 4  0 481536 229281520 2976476 268112448    0    0     0   100 16786 21072  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 481536 229319600 2976476 268069632    0    0     0    84 13542 11439  1  1 98  0  0
 0  0 481536 229319648 2976476 268112416    0    0     0   372 23229 11341  1  1 98  0  0
 1  0 481536 229321152 2976476 268109936    0    0     0   100 12577 14002  1  1 98  0  0
 3  0 481536 229372960 2976476 268088288    0    0     0   100 23276 31195  2  1 97  0  0
 3  0 481536 229308672 2976476 268112464    0    0     0    92 18174 15529  1  1 98  0  0
 6  0 481536 229342768 2976476 268098352    0    0     0    80 11291 18438  1  1 98  0  0
 5  0 481536 229690224 2976476 268034944    0    0     0   440 16973 16609  3  1 96  0  0
 4  0 481536 230642736 2976476 268017232    0    0     0   432 14510 14635  2  1 97  0  0
 4  0 481536 230569312 2976476 268020160    0    0     0   348 17262 20762  2  1 96  0  0
 3  0 481536 230166992 2976476 268030944    0    0     0  3844 29165 28321  3  2 95  0  0
 4  0 481536 229754416 2976476 268041040    0    0     0    80 12487 19466  1  1 98  0  0
 1  0 481536 229754176 2976476 268041056    0    0     0   208 10753 11972  1  1 98  0  0
 2  0 481536 229405888 2976476 268057440    0    0     0   100 10635 11896  1  1 98  0  0
 1  0 481536 229187856 2976476 268065520    0    0     0   548 19293 14170  1  1 98  0  0
 3  0 481536 229192048 2976476 268073776    0    0     0   104 16089 11010  1  0 98  0  0
 3  0 481536 229167488 2976476 268098368    0    0     0    80 24368 35829  1  1 98  0  0
 2  0 481536 229109456 2976476 268147472    0    0     0   120 28607 15959  2  1 97  0  0
12  0 481536 229112592 2976476 268171776    0    0     0    80 19653 12136  1  1 98  0  0
 2  0 481536 229122528 2976476 268167616    0    0     0   440 14572 34651  1  1 98  0  0
 2  0 481536 229172704 2976476 268080048    0    0     0   108 16354 12521  1  1 98  0  0
 2  0 481536 229122912 2976476 268123104    0    0     0    92 24829 13829  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 481536 229114336 2976476 268159488    0    0     0   136 19405 12881  1  1 98  0  0
 1  0 481536 229130864 2976476 268171792    0    0     0   100 18623 21607  1  1 98  0  0
 1  0 481536 229175312 2976476 268169680    0    0     0   248 16671 12922  1  0 98  0  0
 2  0 481536 229228288 2976476 268098704    0    0     0   280 19091 10933  1  1 98  0  0
 2  0 481536 229196800 2976476 268146560    0    0     0    80 19852 11161  1  1 98  0  0
 3  0 481536 229194784 2976476 268171760    0    0     0    96 19562 10838  1  1 99  0  0
