procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 481536 231385616 2976480 268006496    0    0     2     9    0    0  1  0 98  0  0
 2  0 481536 231344000 2976480 268006528    0    0     0   348 9739 13920  1  0 99  0  0
 0  0 481536 231311584 2976480 268006528    0    0     0   100 10640 18151  1  1 99  0  0
 2  0 481536 231339792 2976480 268006544    0    0     0   144 8008 11725  0  0 99  0  0
 1  0 481536 231347648 2976480 268006544    0    0     0    68 9250 31150  1  1 99  0  0
 2  0 481536 231365616 2976480 268006592    0    0     0   232 9599 12086  1  0 99  0  0
 0  0 481536 231352960 2976480 268006592    0    0     0   116 9753 12672  1  0 99  0  0
 3  0 481536 231344304 2976480 268006560    0    0     0   200 11130 15747  1  1 99  0  0
 1  0 481536 231359776 2976480 268006560    0    0     0   272 10260 18101  1  0 99  0  0
 0  0 481536 231380960 2976480 268006560    0    0     0   208 9827 14054  1  0 99  0  0
 2  0 481536 231382848 2976480 268006560    0    0     0   744 16438 37850  2  1 98  0  0
 0  0 481536 231373664 2976480 268006560    0    0     0   536 14722 25975  1  1 98  0  0
 1  0 481536 231369504 2976480 268006576    0    0     0   512 10417 16051  1  0 99  0  0
 1  0 481536 231377600 2976480 268006560    0    0     0   188 9429 17136  1  1 99  0  0
 4  0 481536 231352992 2976480 268006576    0    0     0   232 8606 10396  0  0 99  0  0
 3  0 481536 231400848 2976480 268006560    0    0     0    76 8158 11064  0  0 99  0  0
 0  0 481536 231421600 2976480 268006576    0    0     0   356 9501 11700  1  0 99  0  0
 2  0 481536 231377312 2976480 268006576    0    0     0   204 9462 12932  1  0 99  0  0
 1  0 481536 231396800 2976480 268006576    0    0     0    88 9298 10229  1  0 99  0  0
 0  0 481536 231405520 2976480 268006576    0    0     0   100 15520 40745  2  1 97  0  0
 0  0 481536 231415904 2976480 268006592    0    0     0   100 8390 11381  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 481536 231387504 2976480 268006592    0    0     0    92 8376 11374  0  0 99  0  0
 1  0 481536 231395808 2976480 268006592    0    0     0   268 8221 10533  1  0 99  0  0
 1  0 481536 231403312 2976480 268006592    0    0     0    80 8188 11216  1  0 99  0  0
 2  0 481536 231391360 2976480 268006592    0    0     0    84 10120 13581  1  0 99  0  0
 0  0 481536 231445856 2976480 268006592    0    0     0    88 9610 15844  1  0 99  0  0
 0  0 481536 231456912 2976480 268006592    0    0     0   100 8357 11433  1  0 99  0  0
18  0 481536 231481280 2976480 268006592    0    0     0   360 11592 15315  2  1 98  0  0
 0  0 481536 231472064 2976480 268006592    0    0     0    88 12342 31451  2  1 98  0  0
 2  0 481536 231430960 2976480 268006608    0    0     0    92 8446 11107  1  0 99  0  0
 0  0 481536 231400784 2976480 268006592    0    0     0    88 9561 18473  0  1 99  0  0
 0  0 481536 231414160 2976480 268006608    0    0     0   100 8401 11082  1  0 99  0  0
 2  0 481536 231407328 2976480 268006608    0    0     0   240 7610 10156  0  0 99  0  0
 2  0 481536 231383712 2976480 268006608    0    0     0    80 7907 10602  1  0 99  0  0
 2  0 481536 231389344 2976480 268006608    0    0     0    80 11428 34549  1  1 98  0  0
 0  0 481536 231425584 2976480 268006608    0    0     0    88 7736 10270  0  0 99  0  0
 1  0 481536 231411488 2976480 268006608    0    0     0   100 10441 19935  1  1 99  0  0
 1  0 481536 231401200 2976480 268006624    0    0     0   280 7997 10700  1  0 99  0  0
 1  0 481536 231400496 2976480 268006480    0    0     0    80 8155 11050  0  0 99  0  0
 0  0 481536 231417200 2976480 268006464    0    0     0    88 8018 10303  0  0 99  0  0
 0  0 481536 231405024 2976480 268006480    0    0     0   100 9309 12417  1  0 99  0  0
 2  0 481536 231419584 2976480 268006368    0    0     0    92 9465 12137  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 481536 231426400 2976480 268006368    0    0     0   232 10820 18720  1  0 99  0  0
 1  0 481536 231481472 2976480 268006368    0    0     0   132 8160 9886  0  0 99  0  0
 3  0 481536 231481664 2976480 268006368    0    0     0    80 8080 11201  0  0 99  0  0
 1  0 481536 231471056 2976480 268006368    0    0     0    88 12061 33374  1  1 98  0  0
 0  0 481536 231479008 2976480 268006368    0    0     0   100 9355 12525  1  0 99  0  0
 2  0 481536 231460512 2976480 268006384    0    0     0   300 7784 16740  0  0 99  0  0
 0  0 481536 231445824 2976480 268006384    0    0     0   100 8242 10822  0  0 99  0  0
 0  0 481536 231456608 2976480 268006384    0    0     0   100 12182 34743  1  1 99  0  0
 0  0 481536 231450016 2976480 268006384    0    0     0   100 9020 12239  1  0 99  0  0
 1  0 481536 231473936 2976480 268006384    0    0     0    92 7364 9786  0  0 99  0  0
 0  0 481536 231482592 2976480 268006384    0    0     0   232 8469 11637  1  0 99  0  0
 2  0 481536 231480528 2976480 268006400    0    0     0   124 8754 16667  1  0 99  0  0
 3  0 481536 231476336 2976480 268006400    0    0     0   252 7841 10399  0  0 99  0  0
 2  0 481536 231450176 2976480 268006400    0    0     0   208 9225 12924  1  0 99  0  0
 1  0 481536 231431808 2976480 268006384    0    0     0   292 8926 10775  1  0 99  0  0
 2  0 481536 231143488 2976480 268014592    0    0     0   484 20026 12274  7  1 92  0  0
 2  0 481536 230600064 2976480 268022768    0    0     0   136 12149 11988  1  1 98  0  0
 1  0 481536 230214400 2976480 268033024    0    0     0   100 12957 20727  1  1 98  0  0
 6  0 481536 229830288 2976480 268043264    0    0     0    92 11309 13373  1  1 98  0  0
 1  0 481536 229825968 2976480 268043264    0    0     0    88 10944 11752  0  1 98  0  0
 4  0 481536 229555984 2976480 268053520    0    0     0   292 11731 29251  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 481536 229292704 2976480 268061680    0    0     0    80 16417 18549  1  1 98  0  0
 2  0 481536 229292112 2976480 268087984    0    0     0   120 19900 39767  1  1 98  0  0
 1  0 481536 229283408 2976480 268114672    0    0     0    88 20919 11966  1  1 98  0  0
 1  0 481536 229268096 2976480 268114688    0    0     0   100 12885 13205  1  0 98  0  0
 7  0 481536 229259568 2976480 268090448    0    0     0   248 18739 11367  1  1 98  0  0
 2  0 481536 229270560 2976480 268114624    0    0     0   240 16994 13284  1  1 98  0  0
 3  0 481536 229332160 2976480 268066176    0    0     0   132 15360 13865  1  0 98  0  0
 2  0 481536 229336384 2976480 268109760    0    0     0    92 18964 17001  1  1 98  0  0
 1  0 481536 229332880 2976480 268110608    0    0     0    88 14496 14029  1  1 98  0  0
 2  0 481536 229350464 2976480 268077824    0    0     0    92 15655 11078  1  1 98  0  0
 4  0 481536 229321904 2976480 268114640    0    0     0   228 20273 9449  1  1 99  0  0
 2  0 481536 229346240 2976480 268112128    0    0     0   284 11809 11607  1  0 98  0  0
 2  0 481536 229365184 2976480 268090448    0    0     0   100 20336 13570  1  1 98  0  0
 3  0 481536 229343760 2976480 268114656    0    0     0    92 18851 19802  1  1 98  0  0
 2  0 481536 229398688 2976480 268100544    0    0     0    88 9703 11894  1  1 98  0  0
