procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 481536 229830368 2976480 268037312    0    0     0   432 12453 12015  1  1 98  0  0
 5  0 481536 230763776 2976480 268022944    0    0     0   124 15360 38912  1  2 98  0  0
 2  0 481536 230682272 2976480 268022752    0    0     0   264 14065 30934  1  1 98  0  0
 6  0 481536 230311120 2976480 268032992    0    0     0    92 13770 20010  1  1 98  0  0
 5  0 481536 229950656 2976480 268043232    0    0     0    80 11072 10710  0  1 98  0  0
 3  0 481536 229936720 2976480 268043232    0    0     0    80 8836 10188  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 481536 229573472 2976480 268059616    0    0     0    88 9615 11797  1  1 98  0  0
 1  0 481536 229339040 2976480 268067696    0    0     0   408 18831 11733  1  1 98  0  0
 3  0 481536 229309888 2976480 268075920    0    0     0    92 15140 11996  1  0 98  0  0
 2  0 481536 229300064 2976480 268106752    0    0     0    88 20168 17893  1  1 98  0  0
 1  0 481536 229259168 2976480 268149712    0    0     0   100 23572 12146  1  1 98  0  0
 5  0 481536 229209440 2976480 268173920    0    0     0    92 15337 10770  1  1 98  0  0
 5  0 481536 229189104 2976480 268169376    0    0     0   268 13208 12752  1  0 98  0  0
 3  0 481536 229278400 2976480 268082160    0    0     0    88 13986 10041  1  0 98  0  0
 3  0 481536 229176096 2976480 268125312    0    0     0    92 24011 12573  1  1 98  0  0
 4  0 481536 229144992 2976480 268177616    0    0     0    80 20426 17586  1  1 98  0  0
 2  0 481536 229136720 2976480 268165888    0    0     0    88 17975 36541  1  1 98  0  0
 1  0 481536 229132704 2976480 268173856    0    0     0   364 15636 11990  1  0 98  0  0
 4  0 481536 229178048 2976480 268105968    0    0     0   116 18777 11596  1  1 98  0  0
 2  0 481536 229146720 2976480 268149920    0    0     0    88 25561 34574  1  1 98  0  0
 3  0 481536 229058368 2976480 268174128    0    0     0    92 18386 19662  1  1 98  0  0
 3  0 481536 229053344 2976480 268169600    0    0     0    80 11047 10279  1  0 99  0  0
 2  0 481536 229124272 2976480 268082240    0    0     0   224 16874 13186  1  1 98  0  0
 3  0 481536 229127632 2976480 268125568    0    0     0   136 23665 11438  1  1 98  0  0
 2  0 481536 229148928 2976480 268161856    0    0     0    92 20945 11941  1  1 98  0  0
 4  0 481536 229150960 2976480 268166080    0    0     0    80 14869 12232  1  0 98  0  0
 3  0 481536 229108624 2976480 268174016    0    0     0    88 17098 18645  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 481536 229164176 2976480 268101088    0    0     0   412 19990 11904  1  1 98  0  0
 2  0 481536 229108576 2976480 268153728    0    0     0   132 19843 11114  1  1 98  0  0
 2  0 481536 229110512 2976480 268174144    0    0     0    88 20318 12355  1  1 98  0  0
 5  0 481536 229195744 2976480 268154000    0    0     0    84 8355 11146  1  1 99  0  0
 2  0 481536 229731136 2976480 268037456    0    0     0    76 14475 35048  1  1 98  0  0
 2  0 481536 230658416 2976480 268023280    0    0     0   248 13428 18700  1  1 98  0  0
 1  0 481536 230508544 2976480 268023120    0    0     0   228 11701 13376  1  1 98  0  0
 2  0 481536 230141840 2976480 268033360    0    0     0   148 12689 11745  1  1 98  0  0
 3  0 481536 229798416 2976480 268043600    0    0     0    80 10210 11743  1  1 98  0  0
 1  0 481536 229828256 2976480 268043600    0    0     0    88 13869 34906  1  1 98  0  0
 2  0 481536 229503680 2976480 268059904    0    0     0   132 13717 21327  1  1 98  0  0
 4  0 481536 229261312 2976480 268066048    0    0     0   260 15618 9225  1  1 99  0  0
 3  0 481536 229243968 2976480 268078400    0    0     0   108 16693 10740  1  0 98  0  0
 2  0 481536 229252320 2976480 268086496    0    0     0    92 15243 10755  1  0 98  0  0
 3  0 481536 229230352 2976480 268123232    0    0     0   100 20622 12924  1  1 98  0  0
 4  0 481536 229197488 2976480 268165712    0    0     0   100 24154 13730  1  1 98  0  0
 2  0 481536 229165616 2976480 268209168    0    0     0   588 25023 19981  1  1 98  0  0
 9  0 481536 229140704 2976480 268233472    0    0     0   132 16926 11975  1  1 98  0  0
 4  0 481536 229155440 2976480 268222880    0    0     0    80 12357 12168  1  0 98  0  0
 3  0 481536 229148768 2976480 268231328    0    0     0    92 17764 34259  2  1 98  0  0
 3  0 481536 229292880 2976480 268111520    0    0     0    84 17000 11556  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 481536 229257968 2976480 268153200    0    0     0   240 18132 8979  1  1 99  0  0
 3  0 481536 229243680 2976480 268184784    0    0     0   276 25913 19779  1  1 98  0  0
 1  0 481536 229159136 2976480 268240288    0    0     0    88 22407 12637  1  1 98  0  0
 3  0 481536 229182384 2976480 268219344    0    0     0   100 12925 13991  1  0 98  0  0
 2  0 481536 229157696 2976480 268227216    0    0     0   100 15778 11818  1  0 98  0  0
 3  0 481536 229235136 2976480 268087232    0    0     0   148 18440 35413  1  1 98  0  0
 4  0 481536 229206272 2976480 268133504    0    0     0   240 22891 18764  1  1 98  0  0
 5  0 481536 229182672 2976480 268166416    0    0     0   108 21230 11061  1  1 98  0  0
 4  0 481536 229137072 2976480 268209328    0    0     0    80 21973 9488  1  1 99  0  0
 3  0 481536 229093552 2976480 268233504    0    0     0    80 16836 12235  1  1 98  0  0
 2  0 481536 229109280 2976480 268222912    0    0     0    80 12079 10670  1  0 98  0  0
 4  0 481536 229085344 2976480 268231360    0    0     0    88 14829 10313  1  0 98  0  0
 4  0 481536 229184448 2976480 268111536    0    0     0   328 21792 20585  1  1 98  0  0
 1  0 481536 229098464 2976480 268155424    0    0     0   100 21847 34998  1  1 98  0  0
 2  0 481536 229041680 2976480 268190864    0    0     0   100 23495 12566  1  1 98  0  0
 2  0 481536 229041152 2976480 268233504    0    0     0   100 23065 11670  1  1 98  0  0
 3  0 481536 229048400 2976480 268219408    0    0     0    92 10440 13546  1  0 98  0  0
 6  0 481536 229044064 2976480 268229296    0    0     0   248 13927 9282  1  0 98  0  0
 1  0 481536 229194528 2976480 268092832    0    0     0    76 19048 20386  1  1 98  0  0
 4  0 481536 229158256 2976480 268135904    0    0     0    92 22016 11024  1  1 98  0  0
 4  0 481536 229102912 2976480 268172016    0    0     0    80 18325 10200  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 481536 229056640 2976480 268209280    0    0     0    88 22535 11326  1  1 98  0  0
 3  0 481536 229047936 2976480 268233520    0    0     0   336 18928 27952  1  1 98  0  0
 3  0 481536 229074640 2976480 268207312    0    0     0   356 13348 28544  1  1 98  0  0
 1  0 481536 229769152 2976480 268038064    0    0     0   100 13582 13141  1  1 98  0  0
 5  0 481536 230968608 2976480 268023200    0    0     0   100 12166 11749  1  1 98  0  0
 3  0 481536 230592320 2976480 268023184    0    0     0   288 8933 9518  1  1 98  0  0
 4  0 481536 230181088 2976480 268033424    0    0     0    80 11001 10908  1  1 98  0  0
 2  0 481536 229841440 2976480 268043664    0    0     0   148 14735 36654  1  1 98  0  0
 4  0 481536 229786272 2976480 268043680    0    0     0   148 10732 17909  1  1 98  0  0
 1  0 481536 229462352 2976480 268059968    0    0     0    76 9187 10195  1  1 98  0  0
 1  0 481536 229228736 2976480 268070144    0    0     0   296 19423 11689  1  1 98  0  0
 2  0 481536 229209616 2976480 268082512    0    0     0   100 20593 12815  1  1 98  0  0
 1  0 481536 229192288 2976480 268092720    0    0     0   100 15478 11685  1  0 98  0  0
 3  0 481536 229190352 2976480 268096896    0    0     0   140 14264 12430  1  1 98  0  0
 2  0 481536 229153296 2976480 268127520    0    0     0    88 19677 18478  1  1 98  0  0
 2  0 481536 229127776 2976480 268170432    0    0     0   408 23779 11828  1  1 98  0  0
 2  0 481536 229108080 2976480 268206608    0    0     0    80 18197 10260  1  1 98  0  0
 2  0 481536 229075744 2976480 268243984    0    0     0    80 22811 11598  1  1 98  0  0
 4  0 481536 229044240 2976480 268292992    0    0     0   120 21884 13570  1  1 98  0  0
 4  0 481536 229044144 2976480 268292768    0    0     0    88 15131 37883  2  1 98  0  0
 2  0 481536 229009392 2976480 268280384    0    0     0   252 15561 13039  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 481536 229008208 2976480 268288576    0    0     0   100 15341 16937  1  1 98  0  0
 4  0 481536 229192368 2976480 268109296    0    0     0    92 16158 29566  1  1 98  0  0
 1  0 481536 229132576 2976480 268146176    0    0     0   124 23453 10826  1  1 98  0  0
 1  0 481536 229117824 2976480 268195040    0    0     0   100 24036 12942  1  1 98  0  0
 2  0 481536 229065040 2976480 268230592    0    0     0   372 19440 17177  1  1 98  0  0
 3  0 481536 229014096 2976480 268268528    0    0     0    80 22586 10494  1  1 98  0  0
 2  0 481536 229028768 2976480 268292768    0    0     0    80 15101 12067  1  1 98  0  0
 2  0 481536 229062208 2976480 268278144    0    0     0    80 12585 11619  1  0 98  0  0
 2  0 481536 229069952 2976480 268286496    0    0     0   116 14607 10169  1  0 98  0  0
 2  0 481536 229299312 2976480 268097648    0    0     0   260 14821 12199  1  1 98  0  0
 2  0 481536 229274800 2976480 268133376    0    0     0    92 19875 17817  1  1 98  0  0
 2  0 481536 229234208 2976480 268176704    0    0     0    88 24080 12485  1  1 98  0  0
 1  0 481536 229215408 2976480 268219424    0    0     0   100 23499 13147  1  1 98  0  0
 1  0 481536 229119200 2976480 268255648    0    0     0   132 19998 12974  1  1 98  0  0
 5  0 481536 229094160 2976480 268292816    0    0     0   340 21696 10923  1  1 98  0  0
 7  0 481536 229068048 2976480 268274672    0    0     0    80 17062 49737  2  1 97  0  0
 2  0 481536 229011776 2976480 268282480    0    0     0    80 16095 27112  1  1 98  0  0
 3  0 481536 229003728 2976480 268290672    0    0     0    80 14636 11443  1  0 98  0  0
 2  0 481536 229154832 2976480 268121952    0    0     0   120 19350 10719  1  1 98  0  0
 2  0 481536 229131824 2976480 268163104    0    0     0   252 17999 10915  1  1 98  0  0
 1  0 481536 229041936 2976480 268201152    0    0     0    88 23482 11697  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 481536 228977232 2976480 268243936    0    0     0   232 25355 20113  1  1 98  0  0
 1  0 481536 228935712 2976480 268280112    0    0     0   100 20297 11973  1  1 98  0  0
 2  0 481536 228952896 2976480 268292832    0    0     0   124 14912 13649  1  1 98  0  0
 3  0 481536 228965248 2976480 268280480    0    0     0   112 13187 9854  1  0 98  0  0
 6  0 481536 228947312 2976480 268288608    0    0     0    72 15055 9821  1  0 98  0  0
 1  0 481536 229118720 2976480 268103264    0    0     0    76 14292 10706  1  1 98  0  0
 3  0 481536 229054464 2976480 268146544    0    0     0   396 24369 18241  1  1 98  0  0
 2  0 481536 229071760 2976480 268194256    0    0     0   120 19073 10884  1  1 98  0  0
 1  0 481536 229026272 2976480 268225664    0    0     0   100 21939 11730  1  1 98  0  0
 2  0 481536 228998336 2976480 268268384    0    0     0   100 25686 25156  1  1 98  0  0
 1  0 481536 228984944 2976480 268292816    0    0     0   100 18569 23202  1  1 98  0  0
 1  0 481536 229015152 2976480 268260560    0    0     0   436 14416 42124  1  1 98  0  0
 1  0 481536 229625600 2976480 268038304    0    0     0   100 11874 14221  1  1 98  0  0
 2  0 481536 230631264 2976480 268023488    0    0     0   124 10350 11012  1  1 98  0  0
 5  0 481536 230639408 2976480 268023280    0    0     0   272 11010 9878  1  1 99  0  0
 6  0 481536 230256192 2976480 268033344    0    0     0   288 10509 11938  1  1 98  0  0
 1  0 481536 230123136 2976480 268043744    0    0     0    76 8956 9287  0  1 99  0  0
 1  0 481536 229894464 2976480 268043744    0    0     0   100 16151 19639  1  1 97  0  0
 2  0 481536 229642848 2976480 268060032    0    0     0   164 9886 11341  1  1 98  0  0
 1  0 481536 229361472 2976480 268064176    0    0     0   180 11863 12312  1  1 98  0  0
 1  0 481536 229281664 2976480 268084448    0    0     0   256 29303 12283  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 481536 229227856 2976480 268092800    0    0     0   100 15895 12531  1  0 98  0  0
 2  0 481536 229240080 2976480 268101040    0    0     0    92 14762 11206  1  0 98  0  0
 2  0 481536 229191360 2976480 268109200    0    0     0    80 16306 18044  1  1 98  0  0
 6  0 481536 229146832 2976480 268158512    0    0     0   136 19961 24759  1  1 98  0  0
 2  0 481536 229075088 2976480 268188992    0    0     0   532 21033 18022  1  1 98  0  0
 2  0 481536 229016128 2976480 268231616    0    0     0    88 23591 10612  1  1 98  0  0
 1  0 481536 228986592 2976480 268284448    0    0     0   100 21190 12528  1  1 98  0  0
 3  0 481536 228919520 2976480 268311440    0    0     0   100 24230 34631  1  1 98  0  0
 2  0 481536 228870640 2976480 268354160    0    0     0   128 26064 21470  1  1 98  0  0
 2  0 481536 228901856 2976480 268340048    0    0     0   232 9749 12511  1  0 98  0  0
 2  0 481536 228909952 2976480 268335632    0    0     0   100 16234 12817  1  1 98  0  0
 2  0 481536 228932496 2976480 268343840    0    0     0    92 15452 12219  1  0 98  0  0
 5  0 481536 228916112 2976480 268354048    0    0     0    68 13046 9161  1  0 98  0  0
 5  0 481536 229149344 2976480 268140304    0    0     0    72 18573 15823  1  1 98  0  0
 3  0 481536 229125856 2976480 268183184    0    0     0   268 22918 11241  1  1 98  0  0
 2  0 481536 229094160 2976480 268219120    0    0     0   164 20088 11567  1  1 98  0  0
 2  0 481536 229040464 2976480 268256416    0    0     0   100 23017 11481  1  1 98  0  0
 2  0 481536 228961120 2976480 268305440    0    0     0   100 23522 12947  1  1 98  0  0
 2  0 481536 228901568 2976480 268338960    0    0     0   100 22960 31628  1  1 98  0  0
 2  0 481536 228900928 2976480 268354176    0    0     0   128 18808 24507  1  1 98  0  0
 2  0 481536 228896080 2976480 268333520    0    0     0   260 14482 12147  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 481536 228899984 2976480 268341808    0    0     0    84 13216 10191  1  0 98  0  0
 4  0 481536 228891376 2976480 268350000    0    0     0    60 13634 9699  1  0 98  0  0
 3  0 481536 229144432 2976480 268134416    0    0     0    76 16932 9547  1  1 99  0  0
 6  0 481536 229128896 2976480 268164800    0    0     0   120 22454 26040  2  1 97  0  0
 2  0 481536 229098816 2976480 268207520    0    0     0   324 28529 27710  1  1 98  0  0
 2  0 481536 229067040 2976480 268259072    0    0     0   100 20542 11987  1  1 98  0  0
 3  0 481536 229041600 2976480 268286992    0    0     0   100 21732 12504  1  1 98  0  0
 3  0 481536 228994496 2976480 268329776    0    0     0   100 23613 11605  1  1 98  0  0
 3  0 481536 228930848 2976480 268354208    0    0     0   124 16287 13334  1  1 98  0  0
 3  0 481536 228972128 2976480 268331520    0    0     0   244 13120 19599  1  0 98  0  0
 2  0 481536 228975968 2976480 268339744    0    0     0    92 15698 11871  1  0 98  0  0
 5  0 481536 228946944 2976480 268347936    0    0     0    72 13257 9627  1  0 99  0  0
 3  0 481536 229193600 2976480 268116256    0    0     0    76 16139 33250  1  1 98  0  0
 3  0 481536 229130192 2976480 268158704    0    0     0    92 23264 10432  1  1 98  0  0
 3  0 481536 229114720 2976480 268199872    0    0     0   324 19852 12759  1  1 98  0  0
 1  0 481536 229060640 2976480 268237712    0    0     0   100 24754 18961  1  1 98  0  0
 2  0 481536 229064944 2976480 268281056    0    0     0   100 23886 12937  1  1 98  0  0
 5  0 481536 229014256 2976480 268313296    0    0     0  2168 21296 13943  1  1 98  0  0
 1  0 481536 229015584 2976480 268350464    0    0     0    88 20682 10708  1  1 98  0  0
 2  0 481536 229057040 2976480 268325776    0    0     0   132 11795 14069  1  0 98  0  0
 3  0 481536 229058080 2976480 268333968    0    0     0    92 16519 17778  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 481536 229036080 2976480 268342160    0    0     0    72 17887 36302  1  1 98  0  0
 2  0 481536 229285824 2976480 268106416    0    0     0    68 14571 9687  1  0 98  0  0
 2  0 481536 229231168 2976480 268142096    0    0     0   376 19526 12121  1  1 98  0  0
 1  0 481536 229175072 2976480 268179488    0    0     0   144 22825 11458  1  1 98  0  0
 3  0 481536 229157712 2976480 268228352    0    0     0   100 23064 12009  1  1 98  0  0
 3  0 481536 229141312 2976480 268269344    0    0     0    92 20642 16121  1  1 98  0  0
 3  0 481536 229096688 2976480 268301568    0    0     0    88 26076 36952  1  1 98  0  0
 2  0 481536 229029728 2976480 268360528    0    0     0   252 21109 11915  1  1 98  0  0
 2  0 481536 229071472 2976480 268350496    0    0     0   100 12717 14177  1  0 98  0  0
 2  0 481536 229515584 2976480 268309680    0    0     0   124 11780 11017  1  1 98  0  0
 3  0 481536 230164128 2976480 268030544    0    0     0    72 10216 10945  1  1 98  0  0
 4  0 481536 231120032 2976480 268019632    0    0     0   260 13234 18678  1  1 98  0  0
 2  0 481536 230719360 2976480 268019616    0    0     0   172 11256 12628  1  1 98  0  0
 2  0 481536 230336384 2976480 268029856    0    0     0   100 11343 12279  1  1 98  0  0
 3  0 481536 229928064 2976480 268040096    0    0     0   172 10331 12381  1  1 98  0  0
 2  0 481536 229933152 2976480 268039968    0    0     0    88 9729 10758  0  1 99  0  0
 5  0 481536 229537280 2976480 268056256    0    0     0   100 9836 12139  1  1 98  0  0
 1  0 481536 229335152 2976480 268068400    0    0     0   304 23156 42512  1  1 97  0  0
 1  0 481536 229232832 2976480 268086752    0    0     0   100 27566 13094  1  1 98  0  0
 5  0 481536 229204000 2976480 268095104    0    0     0   136 14119 10002  1  0 98  0  0
 2  0 481536 229211456 2976480 268103296    0    0     0    68 13899 10697  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 481536 229171648 2976480 268111488    0    0     0    80 16140 32486  1  1 98  0  0
 3  0 481536 229136848 2976480 268138336    0    0     0   352 21354 11612  1  1 98  0  0
 3  0 481536 229108448 2976480 268182464    0    0     0    92 20023 19039  1  1 98  0  0
 1  0 481536 229061648 2976480 268217648    0    0     0   124 22154 10355  1  1 98  0  0
 1  0 481536 229010208 2976480 268260800    0    0     0   100 23141 12516  1  1 98  0  0
 1  0 481536 228963616 2976480 268296832    0    0     0   100 19017 11783  1  1 98  0  0
 3  0 481536 228949376 2976480 268334240    0    0     0   248 23416 12890  1  1 98  0  0
 2  0 481536 228878816 2976480 268383264    0    0     0    92 24694 20084  1  1 98  0  0
 2  0 481536 228897120 2976480 268407552    0    0     0    88 19387 11744  1  1 98  0  0
 2  0 481536 228947776 2976480 268379328    0    0     0   120 10341 10231  1  0 98  0  0
 3  0 481536 228931392 2976480 268386944    0    0     0    80 15977 11360  1  0 98  0  0
 2  0 481536 228951328 2976480 268397184    0    0     0   380 14155 9928  1  0 98  0  0
 2  0 481536 228902560 2976480 268405376    0    0     0    88 17040 12428  1  0 98  0  0
 2  0 481536 229181504 2976480 268126288    0    0     0   100 19087 42154  1  1 97  0  0
 3  0 481536 229147776 2976480 268163136    0    0     0   100 23525 12575  1  1 98  0  0
 2  0 481536 229098416 2976480 268211744    0    0     0   124 25471 34490  1  1 98  0  0
 1  0 481536 229070048 2976480 268252480    0    0     0   264 18970 12162  1  1 98  0  0
 8  0 481536 229028896 2976480 268285248    0    0     0    92 23774 11875  1  1 98  0  0
 3  0 481536 228985440 2976480 268344112    0    0     0    72 20293 10619  1  1 98  0  0
 8  0 481536 228912864 2976480 268364512    0    0     0   244 20731 17433  1  1 98  0  0
