timestamp,total_mb,used_mb,free_mb,available_mb,buff_cache_mb,used_pct
2026-01-27_14:47:31.753,515635,25200,222443,485296,267991,4.88
2026-01-27_14:47:32.804,515635,25558,222085,484938,267992,4.95
2026-01-27_14:47:33.855,515635,25910,221722,484575,268002,5.02
2026-01-27_14:47:34.900,515635,26090,221527,484380,268018,5.05
2026-01-27_14:47:35.950,515635,26473,221143,483996,268018,5.13
2026-01-27_14:47:36.999,515635,26494,221110,483963,268030,5.13
2026-01-27_14:47:38.045,515635,26478,221106,483959,268050,5.13
2026-01-27_14:47:39.096,515635,26488,221096,483949,268050,5.13
2026-01-27_14:47:40.145,515635,26524,221059,483912,268050,5.14
2026-01-27_14:47:41.197,515635,26498,221086,483939,268050,5.13
2026-01-27_14:47:42.249,515635,26515,221068,483921,268050,5.14
2026-01-27_14:47:43.297,515635,26496,221087,483940,268050,5.13
2026-01-27_14:47:44.349,515635,26477,221124,483977,268033,5.13
2026-01-27_14:47:45.397,515635,26460,221123,483976,268050,5.13
2026-01-27_14:47:46.447,515635,26458,221126,483979,268050,5.13
2026-01-27_14:47:47.497,515635,26433,221151,484004,268050,5.12
2026-01-27_14:47:48.546,515635,26453,221130,483983,268050,5.13
2026-01-27_14:47:49.598,515635,26474,221110,483963,268050,5.13
2026-01-27_14:47:50.646,515635,26468,221115,483968,268050,5.13
2026-01-27_14:47:51.699,515635,26477,221124,483977,268033,5.13
2026-01-27_14:47:52.748,515635,26464,221120,483973,268050,5.13
2026-01-27_14:47:53.799,515635,26467,221117,483970,268050,5.13
2026-01-27_14:47:54.849,515635,26463,221121,483974,268050,5.13
2026-01-27_14:47:55.901,515635,26448,221136,483989,268050,5.12
2026-01-27_14:47:56.952,515635,26433,221150,484003,268050,5.12
2026-01-27_14:47:58.000,515635,26428,221156,484009,268050,5.12
2026-01-27_14:47:59.046,515635,26399,221197,484050,268039,5.11
2026-01-27_14:48:00.094,515635,26411,221172,484025,268050,5.12
2026-01-27_14:48:01.145,515635,26421,221162,484015,268050,5.12
2026-01-27_14:48:02.196,515635,26408,221176,484029,268050,5.12
2026-01-27_14:48:03.247,515635,26419,221164,484017,268050,5.12
2026-01-27_14:48:04.298,515635,26433,221151,484004,268050,5.12
2026-01-27_14:48:05.351,515635,26427,221157,484010,268050,5.12
2026-01-27_14:48:06.400,515635,26454,221141,483994,268039,5.13
2026-01-27_14:48:07.449,515635,26430,221154,484007,268050,5.12
2026-01-27_14:48:08.501,515635,26477,221107,483960,268050,5.13
